score,proximity_score,mean_member_km,nearest_home_m,housing_status,site_code,site_name,council,address,size_ha,site_type,development_potential,previous_use,lat,lon,km_from_glasgow_centre,km_from_glasgow_airport,km_from_cumbernauld_airport,in_airport_frz,map_url
11,2,23.0,2.3,violation,NL008501381,FORGEWOOD REGEN AREA 3,North Lanarkshire,KYLEMORE CRESCENT FORGEWOOD MOTHERWELL,1.14,Vacant Land,Developable - Undetermined,Residential - Housing,55.801918,-4.00037,17.2,28.1,16.4,False,"https://www.google.com/maps/search/?api=1&query=55.801918,-4.000370"
11,1,31.2,169.0,ok,8410235,NORTHERN SITE,West Dunbartonshire,LOMOND IE ALEXANDRIA,1.98,Vacant Land,Developable - Undetermined,Agriculture,55.996137,-4.574884,25.2,17.0,37.4,False,"https://www.google.com/maps/search/?api=1&query=55.996137,-4.574884"
10,3,14.4,,ok,2440,,Glasgow City,HOUSTON STREET/ OPP HOUSTON PLACE.,0.89,Vacant Land,Unknown (uncertain/insufficient information),Unknown,55.851409,-4.275964,1.4,10.0,21.3,False,"https://www.google.com/maps/search/?api=1&query=55.851409,-4.275964"
10,3,13.0,0.1,violation,4389,MILLERSTON ST,Glasgow City,MILLERSTON ST GALLOWGATE,0.83,Vacant Land,Developable - Medium Term,Residential - Housing,55.855261,-4.215136,2.6,13.7,17.9,False,"https://www.google.com/maps/search/?api=1&query=55.855261,-4.215136"
10,3,13.4,,ok,3025,,Glasgow City,KILLEARN STREET/ STONYHURST ST/ BYSHOT PATH,1.41,Vacant Land,Developable - Medium Term,Residential - Housing,55.88109,-4.245883,2.7,11.9,18.1,False,"https://www.google.com/maps/search/?api=1&query=55.881090,-4.245883"
10,3,13.4,57.4,ok,3122,,Glasgow City,36-64 STONYHURST STREET/ 33-61 ALLANDER ST,1.33,Vacant Land,Developable - Medium Term,Residential - Housing,55.881857,-4.249157,2.7,11.7,18.3,False,"https://www.google.com/maps/search/?api=1&query=55.881857,-4.249157"
10,3,13.6,6.5,violation,4284,WESTERCOMMON PS,Glasgow City,ELLESMERE STREET,1.71,Vacant Land,Developable - Medium Term,Education,55.88165,-4.264847,2.7,10.7,19.2,False,"https://www.google.com/maps/search/?api=1&query=55.881650,-4.264847"
10,3,13.4,,ok,3026,,Glasgow City,2-28 BYSHOT STREET,0.79,Vacant Land,Developable - Medium Term,Residential - Housing,55.881577,-4.243849,2.8,12.0,18.0,False,"https://www.google.com/maps/search/?api=1&query=55.881577,-4.243849"
10,3,13.4,151.4,ok,2069,,Glasgow City,EDGEFAULD ROAD/ ATLAS ROAD/ CAMPSIE ST.,0.54,Vacant Land,Developable - Undetermined,Residential - Housing,55.884276,-4.226335,3.5,13.1,16.8,False,"https://www.google.com/maps/search/?api=1&query=55.884276,-4.226335"
10,3,13.3,,ok,4492,FORMER PLAYING FIELDS,Glasgow City,PETERSHILL DRIVE RED ROAD,2.78,Vacant Land,Developable - Medium Term,Recreation & Leisure,55.87854,-4.208548,3.8,14.2,16.1,False,"https://www.google.com/maps/search/?api=1&query=55.878540,-4.208548"
10,3,13.9,70.6,ok,4192,ST AUGUSTINE'S,Glasgow City,256 LIDDESDALE ROAD,1.1,Vacant Land,Developable - Medium Term,Education,55.896551,-4.252151,4.4,11.9,17.8,False,"https://www.google.com/maps/search/?api=1&query=55.896551,-4.252151"
10,3,14.1,,ok,3532,,Glasgow City,LAMLASH CRESCENT LONGSTONE ROAD,1.21,Vacant Land,Developable - Medium Term,Residential - Housing,55.867096,-4.162651,5.9,17.0,14.5,False,"https://www.google.com/maps/search/?api=1&query=55.867096,-4.162651"
10,3,14.2,,ok,3596,,Glasgow City,NEWHAVEN ROAD/ LAMLASH CRESCENT,0.93,Vacant Land,Developable - Medium Term,Residential - Housing,55.866564,-4.160719,6.0,17.1,14.4,False,"https://www.google.com/maps/search/?api=1&query=55.866564,-4.160719"
10,2,15.7,100.2,ok,8445243,,South Lanarkshire,FERNHILL ROAD RUTHERGLEN,0.48,Vacant Land,Developable - Undetermined,Recreation & Leisure,55.80899,-4.20633,6.2,15.6,20.9,False,"https://www.google.com/maps/search/?api=1&query=55.808990,-4.206330"
10,2,16.9,82.2,ok,2422,,Glasgow City,DOWNCRAIG DRIVE/ CARMUNNOCK ROAD.,1.69,Vacant Land,Developable - Undetermined,Unknown,55.801037,-4.243552,6.3,13.9,23.2,False,"https://www.google.com/maps/search/?api=1&query=55.801037,-4.243552"
10,3,14.6,,ok,2761,,Glasgow City,HORNDEAN ROAD/ PENSTON ROAD/ LONMAY ROAD.,2.48,Vacant Land,Developable - Undetermined,Residential - Housing,55.867183,-4.146912,6.9,18.0,13.7,False,"https://www.google.com/maps/search/?api=1&query=55.867183,-4.146912"
10,3,15.0,26.2,violation,3974,WELLHOUSE P.S.,Glasgow City,2-4 BALADO ROAD BARTIEBEITH ROAD,1.6,Vacant Land,Developable - Medium Term,Education,55.862867,-4.138779,7.3,18.5,13.7,False,"https://www.google.com/maps/search/?api=1&query=55.862867,-4.138779"
10,2,19.9,31.5,violation,2871,,Glasgow City,OPPOSITE 239 CLEEVES ROAD CLEEVES ROAD.,0.48,Vacant Land,Developable - Undetermined,Passive Open Space,55.813725,-4.358391,8.1,7.5,27.9,False,"https://www.google.com/maps/search/?api=1&query=55.813725,-4.358391"
10,2,15.9,27.0,violation,3975,BLAIRTUMMOCK P.S,Glasgow City,ABERDALGIE ROAD/ BALDINNIE ROAD,1.63,Vacant Land,Unknown (uncertain/insufficient information),Education,55.864992,-4.11414,8.9,20.0,12.4,False,"https://www.google.com/maps/search/?api=1&query=55.864992,-4.114140"
10,2,19.1,0.1,violation,4124,,Glasgow City,HALLGREEN AVENUE / ABBOTSHALL AVE,1.07,Vacant Land,Developable - Undetermined,Unknown,55.909692,-4.383785,9.9,5.8,25.5,False,"https://www.google.com/maps/search/?api=1&query=55.909692,-4.383785"
10,2,18.0,,ok,8445212,DALTON SCHOOL,South Lanarkshire,FLEMINGTON ROAD HALFWAY,1.36,Derelict,Uneconomic to Develop/Soft End Use,Education,55.804151,-4.127037,10.0,20.4,18.4,False,"https://www.google.com/maps/search/?api=1&query=55.804151,-4.127037"
10,2,16.9,0.1,violation,NL008521816,SITE OF FORMER TENNIS COURTS/BOWLING GREEN & PAVIL,North Lanarkshire,GARTFERRY ROAD MOODIESBURN,0.42,Vacant Land,Developable - Undetermined,Recreation & Leisure,55.914123,-4.095788,11.8,21.8,8.0,False,"https://www.google.com/maps/search/?api=1&query=55.914123,-4.095788"
10,2,19.9,,ok,NL008500706,ILAND SITE NL008500706,North Lanarkshire,MELFORD ROAD RIGHEAD INDUSTRIAL ESTATE BELLSHILL,1.02,Vacant Land,Developable - Medium Term,Prepared Ground,55.828145,-4.04283,13.7,24.8,13.9,False,"https://www.google.com/maps/search/?api=1&query=55.828145,-4.042830"
10,2,21.5,0.5,violation,NL008381888,FORMER RECREATION GROUND & CAR PARK,North Lanarkshire,OLD GLASGOW ROAD VILLAGE CUMBERNAULD,1.49,Derelict,Developable - Undetermined,Recreation & Leisure,55.957983,-3.985475,20.3,29.8,1.1,True,"https://www.google.com/maps/search/?api=1&query=55.957983,-3.985475"
10,1,30.6,2.6,violation,8410201,SOUTH OF LANE,West Dunbartonshire,DILLICHIP LOAN BONHILL,0.75,Vacant Land,Developable - Undetermined,Residential - Housing,55.978348,-4.574102,24.0,15.3,37.1,False,"https://www.google.com/maps/search/?api=1&query=55.978348,-4.574102"
10,1,29.8,43.6,violation,NL008501835,FORMER RECREATION GROUND (HOUSING SITE NLMW1250),North Lanarkshire,OVERTOWN ROAD WATERLOO WISHAW,1.61,Vacant Land,Developable - Medium Term,Recreation & Leisure,55.764588,-3.894799,24.9,35.6,21.2,False,"https://www.google.com/maps/search/?api=1&query=55.764588,-3.894799"
9,3,13.5,37.3,violation,2592,,Glasgow City,S OF POSSIL ROAD,0.45,Vacant Land,Developable - Undetermined,Residential - Housing,55.877233,-4.257283,2.2,11.1,18.9,False,"https://www.google.com/maps/search/?api=1&query=55.877233,-4.257283"
9,3,13.4,,ok,3027,,Glasgow City,2-28 ALLANDER STREET,0.67,Vacant Land,Unknown (uncertain/insufficient information),Residential - Housing,55.882385,-4.245878,2.8,11.9,18.0,False,"https://www.google.com/maps/search/?api=1&query=55.882385,-4.245878"
9,3,13.1,53.5,ok,3486,,Glasgow City,CARNTYNE ROAD/ TODD STREET,0.46,Vacant Land,Developable - Undetermined,Residential - Housing,55.858949,-4.199398,3.5,14.7,16.8,False,"https://www.google.com/maps/search/?api=1&query=55.858949,-4.199398"
9,3,13.8,45.5,violation,4174,OUR LADY P.S.,Glasgow City,WHITWORTH DRIVE BILSLAND DRIVE,0.82,Derelict,Developable - Undetermined,Education,55.889236,-4.269239,3.6,10.6,19.1,False,"https://www.google.com/maps/search/?api=1&query=55.889236,-4.269239"
9,3,13.5,117.5,ok,4321,ST ALOYSIUS PS,Glasgow City,12 CARRON CRESCENT,0.84,Derelict,Developable - Undetermined,Education,55.888038,-4.238944,3.6,12.4,17.4,False,"https://www.google.com/maps/search/?api=1&query=55.888038,-4.238944"
9,3,13.8,1.9,violation,2106,,Glasgow City,SOUTH OF HILLEND ROAD/WEST OF S.R.C. WATER,2.34,Vacant Land,Developable - Undetermined,Unknown,55.892243,-4.268471,3.9,10.8,18.9,False,"https://www.google.com/maps/search/?api=1&query=55.892243,-4.268471"
9,3,13.8,63.9,ok,4312,ROSEVALE P.S.,Glasgow City,SCALPAY STREET,0.95,Derelict,Developable - Undetermined,Education,55.895746,-4.247514,4.3,12.1,17.6,False,"https://www.google.com/maps/search/?api=1&query=55.895746,-4.247514"
9,3,14.0,48.2,violation,4191,JOAN OF ARC P.S.,Glasgow City,722 BALMORE ROAD,0.87,Derelict,Developable - Undetermined,Education,55.896478,-4.263967,4.4,11.2,18.5,False,"https://www.google.com/maps/search/?api=1&query=55.896478,-4.263967"
9,3,14.3,,ok,2834,,Glasgow City,SKERRYVORE ROAD/ LANGNESS ROAD/ MONARCH ROAD.,0.63,Vacant Land,Unknown (uncertain/insufficient information),Residential - Housing,55.864801,-4.158735,6.1,17.2,14.4,False,"https://www.google.com/maps/search/?api=1&query=55.864801,-4.158735"
9,3,14.2,,ok,3530,,Glasgow City,SKERRYVORE ROAD.,2.1,Vacant Land,Unknown (uncertain/insufficient information),Residential - Housing,55.865573,-4.15929,6.1,17.2,14.4,False,"https://www.google.com/maps/search/?api=1&query=55.865573,-4.159290"
9,2,15.7,83.5,ok,8445388,SHIP SITE,South Lanarkshire,SHIELDAIG DRIVE RUTHERGLEN,0.73,Vacant Land,Developable - Short Term,Recreation & Leisure,55.809005,-4.20748,6.2,15.5,21.0,False,"https://www.google.com/maps/search/?api=1&query=55.809005,-4.207480"
