FID,local_authority,site_name,site_code,address,datazone,development_potential,east,north,owner_1,owner_2,period,previous_use,site_size,site_type,la_s_code,sh_src,sh_date_uploaded,sh_src_id
pub_vdl.1004,Fife,INDUSTRIAL PARK LOCHGELLY,LOC102,LOCHGELLY INDUSTRIAL PARK LOCHGELLY,S01009448,Developable - Medium Term,319386,693493,Local Authority,Not applicable (i.e. only one owner),1980 or earlier,Unknown,2.34,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2634
pub_vdl.1005,Fife,BRUNTON RD BRUNTON RD,MAR100,MARKINCH,S01009609,Unknown (uncertain/insufficient information),329868,701840,Ownership unknown,Ownership unknown,2014,Transport,0.11,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2585
pub_vdl.1006,Fife,FORMER SAWMILL,MET100,METHIL BRAE METHIL,S01009638,Developable - Medium Term,336917,700658,Ownership unknown,Ownership unknown,2009,Forestry/Woodland,4.72,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2588
pub_vdl.1007,Fife,FORMER GAS WORKS,STA001,THE SHORE ST ANDREWS,S01009722,Developable - Undetermined,351580,716351,Private Gas,Not applicable (i.e. only one owner),2001-2004,Storage,0.26,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2574
pub_vdl.1009,Fife,LAND NR REDHOUSE ROUNDABOUT,MF003,KIRKCALDY,S01009547,Unknown (uncertain/insufficient information),329325,695194,Ownership unknown,Not applicable (i.e. only one owner),2006,Unknown,0.28,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2570
pub_vdl.1010,Fife,FORMER BRICKWORKS,MF007,SEA ROAD METHIL,S01009628,Unknown (uncertain/insufficient information),336345,699240,Ownership unknown,Not applicable (i.e. only one owner),2006,Manufacturing,2.72,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2508
pub_vdl.1011,Fife,NORTH OF BEECH AVENUE,MF009,THORNTON,S01009549,Unknown (uncertain/insufficient information),329001,697970,Ownership unknown,Not applicable (i.e. only one owner),2006,Agriculture,0.38,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2553
pub_vdl.1012,Glasgow City,,1535,BLOCHAIRN ROAD/ SEIMENS ROAD.,S01010229,Developable - Undetermined,261626,666379,Local Authority,Other Private,1981-1985,Manufacturing,1.27,Vacant Land,S12000049,05df8fc4-004a-4125-8629-0ae5c553022b,2025-12-03,255
pub_vdl.1013,Fife,LAND SOUTH OF STRATHORE ROAD,MF010,THORNTON,S01009547,Unknown (uncertain/insufficient information),328203,697275,Other Private,Not applicable (i.e. only one owner),2006,Mineral Activity,1.06,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2552
pub_vdl.1015,Fife,LAND TO REAR OF MILL STREET,MF012,KIRKCALDY,S01009473,Unknown (uncertain/insufficient information),327226,690170,Ownership unknown,Not applicable (i.e. only one owner),2006,Unknown,0.38,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2551
pub_vdl.1016,Fife,HOUSES,MF018,EASTER BALBEGGIE NR THORNTON,S01009547,Unknown (uncertain/insufficient information),329255,696204,Other Private,Not applicable (i.e. only one owner),2006,Residential - Housing,0.17,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2555
pub_vdl.1017,Fife,FORMER FACTORY,MF020,METHILHAVEN ROAD METHIL,S01009636,Unknown (uncertain/insufficient information),337209,700162,Other Private,Not applicable (i.e. only one owner),2006,Manufacturing,0.93,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2613
pub_vdl.1018,Fife,HIGH STREET,MF023,COWDENBEATH,S01009418,Developable - Short Term,316609,691701,Ownership unknown,Ownership unknown,2007,Other,0.54,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2654
