FID,local_authority,site_name,site_code,address,datazone,development_potential,east,north,owner_1,owner_2,period,previous_use,site_size,site_type,la_s_code,sh_src,sh_date_uploaded,sh_src_id
pub_vdl.1,Loch Lomond and Trossachs National Park,FORMER TORPEDO RANGE,ARROCHAR VE1,ARROCHAR,S01007358,Developable - Short Term,228745,703979,Defence,Not applicable (i.e. only one owner),2001-2004,Utility Services,3.61,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,942
pub_vdl.2,Loch Lomond and Trossachs National Park,WOODBANK,BALLOCH VE4,LUSS ROAD BALLOCH,S01013207,Developable - Undetermined,238181,681790,Other Private,Not applicable (i.e. only one owner),1981-1985,Residential - Housing,0.81,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,944
pub_vdl.3,Loch Lomond and Trossachs National Park,FORMER HOTEL SITE,CARRICK CASTLE H1,CARRICK CASTLE CARRICK CASTLE,S01007355,Developable - Short Term,219391,694326,Other Private,Not applicable (i.e. only one owner),2001-2004,Unknown,0.53,Vacant Land,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,938
pub_vdl.4,Loch Lomond and Trossachs National Park,SALMON LEAP,DRYMEN MU1,MAIN STREET DRYMEN,S01013010,Developable - Medium Term,247474,688465,Other Private,Not applicable (i.e. only one owner),Unknown,"Residential - Hotels, Hostels etc",0.25,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,939
pub_vdl.65,Aberdeen City,FORMER HYDRASUN BUILDING,2023-12,PITTODRIE LANE ABERDEEN,S01006670,Unknown (uncertain/insufficient information),394400,807470,Unknown Private,Not applicable (i.e. only one owner),2017,Business Class,0.44,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1559
pub_vdl.5,Loch Lomond and Trossachs National Park,HOLIDAY CENTRE,LOCHEARNHEAD H1,A84 LOCHEARNHEAD,S01013119,Developable - Medium Term,258858,723441,Unknown Private,Not applicable (i.e. only one owner),Unknown,Unknown,0.56,Vacant Land,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,940
pub_vdl.6,Loch Lomond and Trossachs National Park,STATION COTTAGES,LOCHEARNHEAD MU1,A85 LOCHSIDE ROAD LOCHEARNHEAD,S01013119,Developable - Medium Term,258892,723896,Other Private,Not applicable (i.e. only one owner),Unknown,Transport,0.92,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,941
pub_vdl.7,Loch Lomond and Trossachs National Park,TOURIST INFORMATION CENTRE SITE AND ADJOINING LAND,TARBET VE1,A82 TARBET,S01007358,Developable - Short Term,231897,704498,Other National/Local Government,Not applicable (i.e. only one owner),2001-2004,Unknown,0.16,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,943
pub_vdl.8,Loch Lomond and Trossachs National Park,FORMER HARVEYS GARAGE SITE,TARBET VE3,A82 TARBET,S01007358,Developable - Short Term,232243,704744,Unknown Private,Not applicable (i.e. only one owner),2001-2004,Utility Services,0.42,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,945
pub_vdl.9,Angus,THE PAVILLION,AN/F/21THE PAVILLION,QUEEN STREET FORFAR,S01007257,Unknown (uncertain/insufficient information),345687,750704,Unknown Private,Not applicable (i.e. only one owner),2009,Recreation & Leisure,0.19,Vacant Land,S12000041,a17f5236-c941-485c-9ff1-1f425b6df2f0,2025-11-30,1788
pub_vdl.10,Angus,ORCHARDBANK HOUSE,AN/F/21ORCHARDBANK HOUSE,ORCHARDBANK BUSINESS PARK FORFAR,S01007264,Unknown (uncertain/insufficient information),344042,750128,Unknown Private,Not applicable (i.e. only one owner),2010,Residential - Housing,0.1,Vacant Land and Buildings,S12000041,a17f5236-c941-485c-9ff1-1f425b6df2f0,2025-11-30,1828
pub_vdl.11,Aberdeen City,EX GARAGE AND THE COLWYN,200020,868-870 GREAT NORTHERN ROAD ABERDEEN,S01006681,Developable - Undetermined,391250,809190,Unknown Private,Other National/Local Government,1996-2000,Retailing,0.58,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1519
pub_vdl.12,Aberdeen City,DUNBAR HALLS,2004-15,DON STREET ABERDEEN,S01006671,Unknown (uncertain/insufficient information),394075,808775,Other Private,Not applicable (i.e. only one owner),2001-2004,"Residential - Hotels, Hostels etc",1.23,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1495
pub_vdl.13,Aberdeen City,PERSLEY FARM BUILDINGS,2007-8,PERSLEY ABERDEEN,S01006762,Developable - Undetermined,391030,810050,Other Private,Not applicable (i.e. only one owner),Unknown,Agriculture,0.35,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1507
pub_vdl.14,Aberdeen City,BROADFORD WORKS,2008-2,HUTCHEON STREET ABERDEEN,S01006648,Developable - Short Term,393610,806890,Other Private,Not applicable (i.e. only one owner),Unknown,Other General Industry,3.7,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1496
pub_vdl.15,Aberdeen City,BALGOWNIE MACHINE CENTRE,2009-4,GREAT NORTHERN ROAD ABERDEEN,S01006657,Developable - Undetermined,393110,807850,Unknown Private,Not applicable (i.e. only one owner),Unknown,Other,0.21,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1497
pub_vdl.16,Aberdeen City,CULTS PUMPING STATION,2010-4,NORTH DEESIDE ROAD ABERDEEN,S01006523,Developable - Medium Term,389500,803140,Water Authority,Not applicable (i.e. only one owner),2009,Utility Services,0.32,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1498
pub_vdl.17,Aberdeen City,LOGIE STORES,2010-5,LOGIE PLACE ABERDEEN,S01006726,Developable - Short Term,391090,808960,Other Private,Not applicable (i.e. only one owner),Unknown,Retailing,0.13,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1508
pub_vdl.18,Aberdeen City,FORMER FISH WORKS,2011-10,PALMERSTON ROAD ABERDEEN,S01006587,Developable - Medium Term,394290,805570,Unknown Private,Not applicable (i.e. only one owner),Unknown,Manufacturing,0.34,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1509
pub_vdl.19,Aberdeen City,1 WESTERN ROAD,2012-2,ABERDEEN,S01006684,Developable - Medium Term,392860,808830,Unknown Private,Not applicable (i.e. only one owner),2010,Residential - Housing,0.1,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1499
pub_vdl.20,Aberdeen City,FORMER AMBASSADOR SNOOKER HALL,2012-3,JOHN STREET ABERDEEN,S01006648,Developable - Short Term,393720,806630,Other Private,Not applicable (i.e. only one owner),2010,Recreation & Leisure,0.39,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1510
pub_vdl.21,Aberdeen City,ST PETERS NURSERY SCHOOL,2012-4,SPITAL ABERDEEN,S01006664,Developable - Short Term,393990,807720,Local Authority,Not applicable (i.e. only one owner),2009,Education,0.1,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1500
pub_vdl.22,Aberdeen City,FORMER GREENFERN INFANT SCHOOL,2012-5,MAIDENCRAIG PLACE ABERDEEN,S01006708,Developable - Medium Term,389740,806950,Local Authority,Not applicable (i.e. only one owner),2011,Education,0.9,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1501
pub_vdl.23,Aberdeen City,FORMER BALGOWNIE CENTRE,2012-6,NORTH DONSIDE ROAD BOD ABERDEEN,S01006782,Developable - Short Term,394510,810030,Other non-Crown,Not applicable (i.e. only one owner),2012,Education,2.47,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1511
pub_vdl.24,Aberdeen City,FORMER VICTORIA ROAD PRIMARY SCHOOL,2012-7,VICTORIA ROAD TORRY ABERDEEN,S01006631,Developable - Medium Term,395460,805170,Local Authority,Not applicable (i.e. only one owner),2011,Education,0.71,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1502
pub_vdl.25,Aberdeen City,FREDERICK STREET EAST,2014-1,FREDERICK STREET ABERDEEN,S01006639,Developable - Medium Term,394580,806570,Unknown Private,Not applicable (i.e. only one owner),Unknown,Other General Industry,0.1,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1503
pub_vdl.26,Aberdeen City,GRANITEHILL ROAD,2015-2,NORTHFIELD ABERDEEN,S01006724,Developable - Medium Term,390540,808460,Other Private,Not applicable (i.e. only one owner),2015,Manufacturing,1.28,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1514
pub_vdl.66,Aberdeen City,UNITS 1-4 WOOD INTERNATIONAL CENTRE,2023-2,CRAIGSHAW DRIVE ALTENS ABERDEEN,S01006623,Developable - Medium Term,394330,803530,Unknown Private,Not applicable (i.e. only one owner),2022,Offices,0.36,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1549
pub_vdl.27,Aberdeen City,FORMER TORRY NURSERY,2016-3,OSCAR ROAD ABERDEEN,S01006625,Developable - Medium Term,394690,804800,Local Authority,Not applicable (i.e. only one owner),Unknown,Education,0.53,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1504
pub_vdl.28,Aberdeen City,FORMER CARDEN SCHOOL,2016-5,GORDON TERRACE DYCE ABERDEEN,S01006753,Developable - Undetermined,389030,812760,Local Authority,Not applicable (i.e. only one owner),Unknown,Education,0.37,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1505
pub_vdl.29,Aberdeen City,ABERDEEN COLLEGE GORDON CENTRE,2016-6,CORUNNA ROAD ABERDEEN,S01006782,Unknown (uncertain/insufficient information),394860,809860,Other Private,Not applicable (i.e. only one owner),Unknown,Education,2.21,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1506
pub_vdl.30,Aberdeen City,FORMER FINTRY HOUSE,2017-1,PITMEDDEN ROAD/LAWSON DRIVE DYCE ABERDEEN,S01006755,Developable - Medium Term,388560,813250,Other Private,Not applicable (i.e. only one owner),2017,Offices,1.15,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1515
pub_vdl.31,Aberdeen City,FORMER BUCKSBURN PRIMARY SCHOOL,2017-2,INVERURIE ROAD/HOWES ROAD BUCKSBURN ABERDEEN,S01006738,Developable - Medium Term,389690,809500,Local Authority,Not applicable (i.e. only one owner),2016,Education,1,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1516
pub_vdl.32,Aberdeen City,FORMER WOODLANDS SCHOOL,2017-5,REGENT WALK ABERDEEN,S01006667,Developable - Medium Term,394470,808150,Local Authority,Not applicable (i.e. only one owner),2017,Education,0.73,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1517
pub_vdl.33,Aberdeen City,FORMER STONEYWOOD SCHOOL,2018-2,PROSPECT TERRACE STONEYWOOD ABERDEEN,S01006743,Developable - Medium Term,389180,810960,Local Authority,Not applicable (i.e. only one owner),2018,Education,0.77,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1518
pub_vdl.34,Aberdeen City,LAND AT NEWTON TERRACE/CAIRNFIELD PLACE,2019-1,BUCKSBURN ABERDEEN,S01006738,Developable - Medium Term,390000,809460,Other Private,Not applicable (i.e. only one owner),Unknown,Mineral Activity,0.98,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1540
pub_vdl.35,Aberdeen City,WOODEND FARM,2019-10,CULTER HOUSE ROAD PETERCULTER ABERDEEN,S01006512,Developable - Medium Term,383710,801900,Other Private,Not applicable (i.e. only one owner),Unknown,Residential - Housing,0.86,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1545
pub_vdl.46,Aberdeen City,FORMER TYSEAL BASE,2021-17,CRAIGSHAW CRESCENT ABERDEEN,S01006623,Developable - Medium Term,394450,803590,Unknown Private,Not applicable (i.e. only one owner),2021,Other General Industry,2.09,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1530
pub_vdl.36,Aberdeen City,HAUDAGAIN TRIANGLE,2019-3,LOGIE AVENUE ABERDEEN,S01006726,Developable - Short Term,391230,809040,Local Authority,Not applicable (i.e. only one owner),2018,Residential - Housing,2.91,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1546
pub_vdl.37,Aberdeen City,FORMER SILVERBURN HOUSE,2019-4,CLAYMORE DRIVE BOD ABERDEEN,S01006788,Developable - Medium Term,394820,810830,Other Private,Not applicable (i.e. only one owner),2019,Business Class,3.95,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1541
pub_vdl.38,Aberdeen City,ST MARGARET OF SCOTLAND CHAPEL WITH FORMER CONVENT,2019-5,11/11A SPITAL ABERDEEN,S01006658,Developable - Undetermined,394060,807390,Other Private,Not applicable (i.e. only one owner),2012,Community & Health,0.11,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1542
pub_vdl.39,Aberdeen City,FORMER MATALAN,2019-6,119 CONSTITUTION STREET ABERDEEN,S01006637,Developable - Short Term,394840,806870,Other Private,Not applicable (i.e. only one owner),2019,Retailing,0.66,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1543
pub_vdl.40,Aberdeen City,ABERDEEN ONE LOGISTICS PARK,2019-9,CRAWPEEL ROAD ABERDEEN,S01006623,Developable - Medium Term,394820,802300,Unknown Private,Not applicable (i.e. only one owner),Unknown,Other General Industry,2.56,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1544
pub_vdl.41,Aberdeen City,FORMER MULLER WISEMAN DAIRIES,2021-10,CRAIGSHAW DRIVE ABERDEEN,S01006623,Developable - Medium Term,394470,803330,Unknown Private,Not applicable (i.e. only one owner),2021,Manufacturing,1.8,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1526
pub_vdl.42,Aberdeen City,FORMER BRAESIDE SCHOOL,2021-11,BRAESIDE PLACE ABERDEEN,S01006537,Developable - Short Term,391130,804160,Local Authority,Not applicable (i.e. only one owner),2021,Education,1.04,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1539
pub_vdl.43,Aberdeen City,FORMER GREYFRIARS HOUSE,2021-14,GALLOWGATE ABERDEEN,S01006647,Developable - Short Term,394200,806630,Unknown Private,Not applicable (i.e. only one owner),2021,Offices,0.37,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1527
pub_vdl.44,Aberdeen City,FORMER OFFICE COMPLEX WELLHEADS PLACE,2021-15,WELLHEADS PLACE DYCE ABERDEEN,S01006748,Developable - Medium Term,388730,811700,Unknown Private,Not applicable (i.e. only one owner),2021,Offices,1.65,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1528
pub_vdl.45,Aberdeen City,FORMER SCHLUMBERGER PRODUCT CENTRE,2021-16,WOODLANDS DRIVE ABERDEEN,S01006748,Developable - Medium Term,387210,812690,Unknown Private,Not applicable (i.e. only one owner),2021,Other,0.64,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1529
pub_vdl.47,Aberdeen City,SITE ADJACENT TO HILL OF TRAMAUD,2021-18,MUNDURNO BRIDGE ABERDEEN,S01006788,Unknown (uncertain/insufficient information),394720,813320,Unknown Private,Not applicable (i.e. only one owner),Unknown,Community & Health,4.7,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1531
pub_vdl.48,Aberdeen City,LAND AT ANNAN HOUSE,2021-19,POYNERNOOK ROAD ABERDEEN,S01006587,Developable - Medium Term,394410,805620,Unknown Private,Not applicable (i.e. only one owner),Unknown,Unknown,0.37,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1532
pub_vdl.49,Aberdeen City,SILVERBURN PARK,2021-2,EXHIBITION AVENUE BOD ABERDEEN,S01006782,Developable - Medium Term,395010,810560,Unknown Private,Not applicable (i.e. only one owner),2020,Recreation & Leisure,17.6,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1547
pub_vdl.50,Aberdeen City,FORMER CORDYCE RESIDENTIAL SCHOOL,2021-20,RIVERVIEW DRIVE DYCE ABERDEEN,S01006750,Developable - Short Term,389110,813770,Local Authority,Not applicable (i.e. only one owner),2017,Education,8.24,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1538
pub_vdl.51,Aberdeen City,HEATH FARM,2021-21,WHITESTRIPES ROAD DYCE ABERDEEN,S01006762,Developable - Medium Term,390570,812630,Local Authority,Not applicable (i.e. only one owner),Unknown,Agriculture,2.1,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1533
pub_vdl.52,Aberdeen City,HILTON OUTDOOR SPORTS CENTRE,2021-22,HILTON DRIVE HILTON ABERDEEN,S01006687,Developable - Medium Term,392070,808640,Local Authority,Not applicable (i.e. only one owner),2019,Recreation & Leisure,1.02,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1534
pub_vdl.92,Aberdeenshire,ADJ WATERMILL BAR,BFRA/V/018,WATERMILL FRASERBURGH,S01007108,Unknown (uncertain/insufficient information),398038,866599,Ownership unknown,Not applicable (i.e. only one owner),Unknown,Manufacturing,0.32,Vacant Land,S12000034,f2baf76b-c7a5-45a6-98e9-8fd274613584,2025-11-30,1705
pub_vdl.53,Aberdeen City,MAINS OF DYCE STEADING,2021-23,OLDMELDRUM ROAD DYCE ABERDEEN,S01006755,Developable - Medium Term,388890,813810,Local Authority,Not applicable (i.e. only one owner),Unknown,Agriculture,0.74,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1535
pub_vdl.54,Aberdeen City,FORMER FACTORY GRANITEHILL,2021-24,GRANITEHILL ROAD NORTHFIELD ABERDEEN,S01006724,Developable - Medium Term,390670,808520,Local Authority,Not applicable (i.e. only one owner),Unknown,Manufacturing,1.25,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1536
pub_vdl.55,Aberdeen City,LAND AT 4-38 CANAL ROAD,2021-25,4-38 CANAL ROAD ABERDEEN,S01006651,Developable - Short Term,393850,807270,Unknown Private,Not applicable (i.e. only one owner),2021,Other General Industry,0.55,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1537
pub_vdl.56,Aberdeen City,FORMER CHALMERS BAKERY,2021-3,13-15 AUCHMILL ROAD BUCKSBURN ABERDEEN,S01006738,Developable - Short Term,389890,809630,Unknown Private,Not applicable (i.e. only one owner),2021,Manufacturing,0.13,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1520
pub_vdl.57,Aberdeen City,LAND AT FARBURN TERRACE,2021-4,FARBURN TERRACE DYCE ABERDEEN,S01006748,Developable - Medium Term,388590,812350,Unknown Private,Not applicable (i.e. only one owner),Unknown,Unknown,0.6,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1521
pub_vdl.58,Aberdeen City,FORMER OCEANEERING HOUSE AND DAVIDSON HOUSE,2021-5,PITMEDDEN ROAD DYCE ABERDEEN,S01006755,Developable - Medium Term,388400,813460,Unknown Private,Not applicable (i.e. only one owner),2021,Offices,0.98,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1522
pub_vdl.59,Aberdeen City,FORMER TRAFALGAR HOUSE,2021-6,HARENESS ROAD ALTENS ABERDEEN,S01006623,Developable - Short Term,395160,802880,Unknown Private,Not applicable (i.e. only one owner),2021,Offices,2.3,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1523
pub_vdl.60,Aberdeen City,FORMER LAURIES MOTEL SITE,2021-7,HARENESS ROAD ALTENS ABERDEEN,S01006623,Developable - Undetermined,394770,802870,Unknown Private,Not applicable (i.e. only one owner),Unknown,"Residential - Hotels, Hostels etc",0.73,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1525
pub_vdl.61,Aberdeen City,LOIRSTON HOUSE,2021-9,102 WELLINGTON ROAD NIGG ABERDEEN,S01006623,Developable - Medium Term,394840,802860,Unknown Private,Not applicable (i.e. only one owner),2021,Offices,0.48,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1524
pub_vdl.62,Aberdeen City,BAKER HUGHES,2023-1,WOODSIDE ROAD BOD ABERDEEN,S01006782,Developable - Medium Term,394650,810910,Unknown Private,Not applicable (i.e. only one owner),2022,Manufacturing,2.93,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1548
pub_vdl.63,Aberdeen City,VACANT SITE (FORMERLY MORGAN FUELS),2023-10,5 SOUTH ESPLANADE WEST TORRY ABERDEEN,S01006627,Unknown (uncertain/insufficient information),394520,805260,Unknown Private,Not applicable (i.e. only one owner),2022,Retailing,0.61,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1557
pub_vdl.64,Aberdeen City,FORMER KIRKHILL BUSINESS PARK,2023-11,HOWE MOSS DRIVE/HOWE MOSS ROAD DYCE ABERDEEN,S01006748,Developable - Medium Term,387030,812640,Unknown Private,Not applicable (i.e. only one owner),2022,Offices,1.78,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1558
pub_vdl.93,Aberdeenshire,"SOUTH OF ALLOCHY ROAD, FORMER AIRFIELD",BINV/D/142,ALLOCHY ROAD INVERALLOCHY,S01007104,Developable - Medium Term,404373,864729,Local Authority,Other Private,Unknown,Defence,2,Vacant Land,S12000034,f2baf76b-c7a5-45a6-98e9-8fd274613584,2025-11-30,1683
pub_vdl.67,Aberdeen City,CRAIGIEVAR HOUSE,2023-3,HOWE MOSS TERRACE DYCE ABERDEEN,S01006748,Developable - Medium Term,386740,813360,Unknown Private,Not applicable (i.e. only one owner),2022,Offices,1.93,Vacant Land and Buildings,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1550
pub_vdl.68,Aberdeen City,FORMER NIGG CARAVAN PARK,2023-4,ALTENS FARM ROAD ALTENS ABERDEEN,S01006623,Unknown (uncertain/insufficient information),394900,803080,Unknown Private,Not applicable (i.e. only one owner),2014,Recreation & Leisure,1.52,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1551
pub_vdl.69,Aberdeen City,FORMER BROADHILL BAR,2023-5,30 GOLF ROAD LINKSFIELD ABERDEEN,S01006670,Developable - Medium Term,394920,807570,Unknown Private,Not applicable (i.e. only one owner),2022,Other,0.19,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1552
pub_vdl.70,Aberdeen City,CITYPARK,2023-6,2 ALTENS FARM ROAD ALTENS ABERDEEN,S01006623,Developable - Medium Term,394880,802940,Unknown Private,Not applicable (i.e. only one owner),2022,Offices,0.65,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1553
pub_vdl.71,Aberdeen City,FORMER MILLTIMBER PRIMARY SCHOOL,2023-7,MONEARN GARDENS MILLTIMBER ABERDEEN,S01006516,Unknown (uncertain/insufficient information),386240,801810,Local Authority,Not applicable (i.e. only one owner),2022,Education,1.44,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1554
pub_vdl.72,Aberdeen City,PETROFAC TRAINING,2023-8,BLACKNESS AVENUE ALTENS ABERDEEN,S01006619,Developable - Medium Term,395650,802190,Unknown Private,Not applicable (i.e. only one owner),2022,Business Class,0.85,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1555
pub_vdl.73,Aberdeen City,FORMER OIL STATES,2023-9,BLACKNESS ROAD ALTENS ABERDEEN,S01006623,Developable - Medium Term,395680,802510,Unknown Private,Not applicable (i.e. only one owner),2022,Manufacturing,1.71,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1556
pub_vdl.74,Aberdeen City,FORMER BT SITE,2024-1,FROGHALL TERRACE ABERDEEN,S01006664,Developable - Medium Term,393942,807517,Private Telecommunications,Not applicable (i.e. only one owner),2019,Utility Services,1.71,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1560
pub_vdl.75,Aberdeen City,PETERSEAT DRIVE 1,2024-2,PETERSEAT DRIVE ALTENS ABERDEEN,S01006623,Unknown (uncertain/insufficient information),395672,803445,Ownership unknown,Not applicable (i.e. only one owner),Unknown,Unknown,7.3,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1561
pub_vdl.76,Aberdeen City,PETERSEAT DRIVE 2,2024-3,PETERSEAT DRIVE ALTENS ABERDEEN,S01006623,Unknown (uncertain/insufficient information),396010,803518,Ownership unknown,Not applicable (i.e. only one owner),Unknown,Unknown,1.45,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1562
pub_vdl.77,Aberdeen City,PETERSEAT DRIVE 3,2024-4,PETERSEAT DRIVE ALTENS ABERDEEN,S01006623,Unknown (uncertain/insufficient information),396100,803350,Ownership unknown,Not applicable (i.e. only one owner),Unknown,Unknown,2.6,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1563
pub_vdl.78,Aberdeen City,BEACH LEISURE CENTRE/SWIMMING POOL,2024-5,BEACH ESPLANADE ABERDEEN,S01006666,Developable - Medium Term,395235,807220,Local Authority,Not applicable (i.e. only one owner),2022,Recreation & Leisure,1.44,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1564
pub_vdl.79,Aberdeen City,FORMER PRESS AND JOURNAL OFFICES,2024-6,LANG STRACHT KINGSWELLS ABERDEEN,S01006703,Developable - Medium Term,390391,806787,Local Authority,Not applicable (i.e. only one owner),2022,Offices,1,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1565
pub_vdl.94,Aberdeenshire,MINTLAW STATION,BMIN/D/178,A950 MINTLAW,S01007059,Developable - Undetermined,398938,848461,Ownership unknown,Not applicable (i.e. only one owner),Unknown,Transport,0.2,Vacant Land,S12000034,f2baf76b-c7a5-45a6-98e9-8fd274613584,2025-11-30,1743
